gameId,teamName,Q,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,points,resultado
22000028,Timberwolves,2,14,26,8,14,1,2,1,6,10,4,0,2,8,37,W
22000028,Timberwolves,3,8,25,2,6,2,4,4,5,5,1,1,1,9,20,W
22000028,Timberwolves,4,12,26,0,3,4,5,4,9,3,1,1,4,6,28,W
22000029,Rockets,1,12,19,3,6,4,4,0,10,9,1,1,4,4,31,L
22000029,Rockets,2,12,22,3,10,10,13,4,6,6,1,3,2,7,37,L
22000029,Rockets,3,4,18,0,9,9,13,1,8,2,3,1,4,5,17,L
22000029,Rockets,4,12,20,2,5,2,2,4,6,7,0,0,4,6,28,L
22000029,Rockets,5,5,8,3,5,0,0,1,2,3,0,0,2,0,13,L
22000029,Trail Blazers,1,10,27,5,13,2,4,5,7,7,1,1,2,2,27,W
22000029,Trail Blazers,2,11,22,4,7,5,7,1,6,4,2,1,3,7,31,W
22000029,Trail Blazers,3,8,20,6,15,4,6,1,15,3,3,2,7,7,26,W
22000029,Trail Blazers,4,11,22,3,7,4,6,2,4,8,2,1,1,3,29,W
22000029,Trail Blazers,5,7,11,1,3,0,0,2,2,5,2,0,0,1,15,W
22000030,Kings,1,13,23,2,8,3,4,4,8,10,3,3,5,6,31,L
22000030,Kings,2,9,21,2,6,7,7,2,10,5,0,2,6,3,27,L
22000030,Kings,3,10,21,1,4,4,11,4,13,4,0,2,4,7,25,L
22000030,Kings,4,7,21,0,5,9,11,5,10,1,1,2,3,6,23,L
22000030,Suns,1,11,25,3,12,0,0,2,5,6,1,0,4,4,25,W
22000030,Suns,2,12,26,2,10,3,3,2,7,7,4,4,2,4,29,W
22000030,Suns,3,10,23,4,10,1,3,1,10,7,0,0,2,7,25,W
22000030,Suns,4,8,24,2,12,6,7,5,8,5,3,1,3,8,24,W
22000031,Clippers,1,5,22,0,9,3,4,2,8,1,0,0,3,4,13,L
22000031,Clippers,2,4,15,1,10,5,6,0,6,2,0,0,4,5,14,L
22000031,Clippers,3,11,21,1,7,7,8,3,9,5,0,1,0,6,30,L
22000031,Clippers,4,6,18,2,7,2,2,0,8,5,2,1,5,4,16,L
22000031,Mavericks,1,14,27,4,11,4,4,4,15,8,3,2,2,2,36,W
22000031,Mavericks,2,15,23,5,9,6,6,2,11,8,3,0,0,5,41,W
22000031,Mavericks,3,7,18,5,15,8,9,1,6,5,0,0,2,5,27,W
22000031,Mavericks,4,7,19,0,6,6,8,4,11,4,4,0,2,2,20,W
22000032,Hornets,1,9,23,2,10,3,4,3,11,9,3,1,5,5,23,W
22000032,Hornets,2,10,25,1,8,4,6,4,9,6,2,0,2,5,25,W
22000032,Hornets,3,15,27,3,7,1,2,2,7,13,3,1,1,8,34,W
22000032,Hornets,4,9,21,4,9,2,5,4,12,7,0,1,4,7,24,W
22000032,Nets,1,7,23,4,16,4,6,3,11,5,2,3,5,3,22,L
22000032,Nets,2,11,20,3,9,3,4,0,10,6,0,2,4,5,28,L
22000032,Nets,3,8,20,5,12,6,8,2,11,6,0,0,7,3,27,L
22000032,Nets,4,9,19,5,10,4,7,1,8,6,2,0,3,6,27,L
22000033,Magic,1,10,25,4,7,5,5,3,9,7,2,1,2,4,29,L
22000033,Magic,2,8,18,2,8,15,16,2,8,3,2,1,2,2,33,L
